"CD_CARGO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"NR_PARTIDO";"SG_PARTIDO";"NR_FEDERACAO";"DT_NASCIMENTO";"CD_GENERO";"CD_SIT_TOT_TURNO";
"7";"27456";"EDEMILDES DA SILVA PAULINO";"EDEMILDES PAULINO";"2";"27";"DC";"-1";"10/08/1973";"2";"4";
"7";"10000";"JAMYL ASFURY MARTINS OLIVEIRA";"JAMYL ASFURY";"2";"10";"REPUBLICANOS";"-1";"08/07/1973";"2";"5";
"7";"90147";"MARISSANTA RODRIGUES DA SILVA";"PROFESSORA MARISSANTA";"2";"90";"PROS";"-1";"01/11/1969";"4";"4";
"7";"51007";"CLAUDENOR MAGALHAES SANTANA DE SOUZA";"PENINHA MAGALHAES";"2";"51";"PATRIOTA";"-1";"19/07/1959";"2";"4";
"7";"22555";"JOSENIL COSTA CHAVES";"ZENIL";"2";"22";"PL";"-1";"14/09/1969";"2";"5";
"6";"1223";"ADRIANA DA SILVA MELO";"ADRIANA MELO";"2";"12";"PDT";"-1";"05/03/1980";"4";"4";
"7";"13123";"DANIEL QUEIROZ DE SANT ANA";"DANIEL ZEN";"2";"13";"PT";"2";"04/08/1980";"2";"5";
"7";"27888";"JOANNA AYSHA DA COSTA ASSIS";"JOANNA AYSHA";"2";"27";"DC";"-1";"18/09/1983";"4";"4";
"9";"222";"ELISABETH MEDEIROS DE MORAES";"BETH PINHEIRO";"2";"22";"PL";"-1";"11/11/1955";"4";"4";
"7";"12555";"MICHELLE DE OLIVEIRA MELO WICIUK";"DR. MICHELLE MELO";"2";"12";"PDT";"-1";"01/06/1984";"4";"2";
"6";"1331";"LEONARDO CUNHA DE BRITO";"LEO DE BRITO";"2";"13";"PT";"2";"13/04/1979";"2";"4";
"7";"13456";"ELCIO SEVERINO DA SILVA FILHO MANCHINERI";"JUNIOR MANCHINERI";"2";"13";"PT";"2";"09/09/2000";"2";"5";
"7";"40900";"SUELEN SIRLEY SILVA MOTA";"SUELEN MOTA";"2";"40";"PSB";"-1";"23/02/1999";"4";"5";
"7";"51111";"JUAN CARLOS UYENO BARROSO";"CARLINHOS UYENO";"2";"51";"PATRIOTA";"-1";"22/10/1951";"2";"4";
"7";"13111";"MAURO DEFESON BARROSO BRAGA";"MAURO DEFESON";"2";"13";"PT";"2";"24/02/1981";"2";"5";
"7";"15192";"VANDERLI FERREIRA DA SILVA";"VANDERLI FERREIRA";"2";"15";"MDB";"-1";"22/08/1989";"2";"5";
"7";"77252";"AFONSON FERREIRA ALVES";"AFONSO CONTADOR";"2";"77";"SOLIDARIEDADE";"-1";"30/05/1973";"2";"4";
"7";"22100";"CLEMILTON ALMEIDA DE LIMA";"PROFESSOR CLEMILTON";"2";"22";"PL";"-1";"22/08/1967";"2";"5";
"6";"9033";"ROGERIO BARROS DE LIMA";"ROGÉRIO BARROS";"2";"90";"PROS";"-1";"28/12/1976";"2";"4";
"6";"1555";"FLAVIANO FLAVIO BAPTISTA DE MELO";"FLAVIANO MELO";"2";"15";"MDB";"-1";"17/11/1949";"2";"4";
"6";"1177";"GIRLENE DA SILVA TEIXEIRA";"GIL TEIXEIRA";"2";"11";"PP";"-1";"03/06/1969";"4";"5";
"7";"51234";"FRANCISCO PEPES GOMES";"PEPES";"2";"51";"PATRIOTA";"-1";"19/06/1954";"2";"4";
"7";"36198";"ROMEU RAMALHO MARQUES";"ROMEU ENTREGADOR";"2";"36";"AGIR";"-1";"19/03/1983";"2";"4";
"10";"199";"RUI ÓSCAR DE SOUZA ABRANTES GUEDES";"RUI ÓSCAR";"6";"19";"PODE";"-1";"";"-4";"-1";
"7";"27777";"MOISES LIMA DOS SANTOS";"MOISES SANTOS O DINO ACRE";"2";"27";"DC";"-1";"15/03/1986";"2";"4";
"6";"1920";"LUIZ GONZAGA DE LIMA REGO";"LOY REGO";"2";"19";"PODE";"-1";"28/02/1957";"2";"4";
"7";"40999";"AUGUSTO HENRIQUE FERREIRA DE SOUZA";"AUGUSTO HENRIQUE";"2";"40";"PSB";"-1";"25/03/1970";"2";"5";
"7";"13000";"CHARLES DOS SANTOS BRASIL";"CHARLES BRASIL";"6";"13";"PT";"2";"11/10/1982";"2";"4";
"6";"1010";"ROBERTO DUARTE JUNIOR";"ROBERTO DUARTE";"2";"10";"REPUBLICANOS";"-1";"25/04/1975";"2";"3";
"10";"364";"IVANILDA LIMA DE MOURA";"IVANA MOURA";"2";"36";"AGIR";"-1";"07/12/1977";"4";"4";
"7";"36461";"ADRIANA ANDRADE DOS SANTOS";"ADRIANA ANDRADE";"2";"36";"AGIR";"-1";"13/06/1981";"4";"4";
"7";"15555";"JOSÉ ALTANIZIO TAUMATURGO SÁ";"TANIZIO SÁ";"2";"15";"MDB";"-1";"26/04/1968";"2";"3";
